model_number,description
L118,"Border Fine Arts 'Bengal Tigress and Cubs', model No. L118 by Richard Roberts, */750"
L120,"Border Fine Arts 'What Now', model No. L120 by Ray Ayres, limited edition */1250"
L121,"Border Fine Arts 'Charolais Ewe and Lambs', model No. L121 by Ray Ayres, limited edition */750"
L122,"Border Fine Arts 'Police Handler and German Shepherd Dog', model No. L122 by Anne Butler, limited edition */950"
L123,"Border Fine Arts 'Patience', model No. L123 by David Walton, limited edition */950"
L124,"Border Fine Arts ""Look, Listen & Learn"", model No. L124 by Ray Ayres, limited edition */1500"
L126,"Border Fine Arts 'Elegance in the Field' (Rider and Horse), model No. L126 by Anne Wall, limited edition */950"
L127,"Border Fine Arts 'Highland Challenge' (Pair of Stags Fighting), model No. L127 by Mairi Laing Hunt, limited edition */500"
L131,"Border Fine Arts 'Winter Watch' (Canada Goose), model No. L131 by Frank DiVita, limited edition */750"
L133,"Border Fine Arts 'Cheetah and Cubs', model No. L133, limited edition */750"
L134,"Border Fine Arts 'Urban Foxes', model No. L134 by David Walton, limited edition */1250"
L136,"Border Fine Arts 'Arab Mare and Foal', model No. L136 by Anne Wall, limited edition */850"
L136A,"Border Fine Arts 'Arab Mare and Foal' (Style Two), model No. L136A by Anne Wall, limited edition */850"
L137,"Border Fine Arts 'Charolais Cow & Calf' (Style One), model No. L137 by Ray Ayres, limited edition */1500"
L138,"Border Fine Arts 'Savannah Spring' (Group of Impala), model No. L138 by Richard Roberts, limited edition */850"
L139,"Border Fine Arts 'Cheviot Ram', model No. L139 by Ray Ayres, limited edition */850"
L140,"Border Fine Arts 'Champion of Champions Shire Stallion' (Gold Edition), model No. L140 by Anne Wall, limited edition */350/950"
L140A,"Border Fine Arts 'Champion of Champions Shire Stallion' (Standard Edition), model No. L140A by Anne Wall, limited edition */950"
L143,"Border Fine Arts 'Taking the Plunge' (Otters), model No. L143 by Ray Ayres, 76.8cm high, limited edition */350"
L146,"Border Fine Arts Polar Bear and Cubs 'Arctic Adventure', model No. L146 by Richard Roberts, limited edition */850"
L147,"Border Fine Arts 'North Country Cheviot Ewe With Scotch Half Bred Lamb', model No. L147 by Ray Ayres, limited edition */950"
L148,"Border Fine Arts 'Swaledale Tup' (the Monarch of the Dales), model No. L148 by Ray Ayres, limited edition */950"
L149A,"Border Fine Arts 'Victory At the Highland' Cyldesdale Stallion (Gold Edition), model No. L149A by Anne Wall, limited edition */350/950"
L15,"Border Fine Arts 'Blackface Tup' (Style One), model No. L15 by Mairi Laing Hunt, limited edition */750"
L152,"Border Fine Arts 'Jewel of the East' (Ceremonial Indian Elephant), model No. L152 by Richard Roberts, limited edition */350"
L153,"Border Fine Arts 'Ocean Explorers' (Humpback whale and young), model No. L153 by Richard Roberts, limited edition */500"
L155,"Border Fine Arts 'Safe Landing', model No.L155 by Anne Wall, limited edition */1850"
L157,"Border Fine Arts 'Limousin Cow and Calf' (Style One), model No. L157 by Anne Wall, limited edition */1500"
L158,"Border Fine Arts '10 O'clock Break' (Bookends), model No. L158 by Adrian Hughes, limited edition */1500"
L160A,"Border Fine Arts 'Percheron Supreme Champion' (Golden Edition), model No. L160A by Anne Wall, limited edition */350"
L160D,"Border Fine Arts 'Percheron Supreme Champion' (Standard edition), model No. L160D by Anne Wall, limited edition */950"
L162,"Border Fine Arts 'Call of the Falcon', (Peregrine Falcon and Chicks), model No. L162 by Ray Ayres, limited edition */200"
L163,"Border Fine Arts 'Border Leicester Tup', model No. L163 by Ray Ayres, limited edition */950"
L16A,"Border Fine Arts 'Cantering Down' (Racehorse), model No. L16A by Anne Wall, limited edition */850"
L18,"Border Fine Arts 'Simmental Bull' (Style One), model No. L18 by Anne Wall, limited edition */850"
L20,"Border Fine Arts 'Red Stag' style one, model No. L20 by Ray Ayres, limited edition */750"
L21,"Border Fine Arts 'Simmental Cow and Calf', model No. L21 by Anne Wall, limited edition */850"
L22,"Border Fine Arts 'Foxhound' (Standing, Style One), model No. L22 by David Geenty, limited edition */850"
L23,"Border Fine Arts 'Full Cry' (Foxhunter Scene), model No. L23 by David Geenty, limited edition */300"
L27,"Border Fine Arts 'Rhodesian Ridgeback' (Standing, Style One), model No. L27 by David Geenty, limited edition */500"
L29,"Border Fine Arts 'German Shepherd' (Standing, Style One), model No. L29 by David Geenty, limited edition */850"
L31,"Border Fine Arts 'Blue Faced Leicester Ewe and Lambs' (Style One), model No. L31 by Ray Ayres, limited edition */850"
L33,"Border Fine Arts 'Belted Galloway Bull' (Style One), model No. L33 by Ray Ayres, limited edition */850"
L34,"Border Fine Arts 'Friesian Cow and Calf' (Style One), model No. L34 by Ray Ayres, limited edition */850"
L35,"Border Fine Arts 'Border Terrier & Vixen', model No. L35 by Ray Ayres, limited edition */850"
L36,"Border Fine Arts 'Moving Off' (Huntsman and two Hounds), model No. L36 by David Geenty, limited edition */300"
L38,"Border Fine Arts 'Ospreys' with nest, chicks and fish, model No. L38 by Ray Ayres, limited edition */350"
L39,"Border Fine Arts 'Cheviot Ram', model No. L39 by Ray Ayres, limited edition */850"
L40,"Border Fine Arts 'Suffolk Ram', (style one), model No. L40 by Ray Ayres, limited edition */1250"
L45,"Border Fine Arts 'Thoroughbred Mare and Foal' (Standing, Style One), model No. L45 by David Geenty, limited edition */750"
L46,"Border Fine Arts 'Rising Pheasant', model No. L46 by frank divita, limited edition */950"
L51,"Border Fine Arts 'the Hurdler', model No. L51 by David Geenty"
L54,"Border Fine Arts 'Otter and Salmon', model No. L54 by Elizabeth Waugh"
L57,"Border Fine Arts 'Felling the Furrow' (Clydesdale Ploughing the Stubble in Autumn), model No. L57 by Judy Boyt, limited edition */350"
L58,"Border Fine Arts 'Leicester Fox', model No. L58 by Ray Ayres, limited edition */500"
L59,"Border Fine Arts 'Aberdeen Angus Bull' (Style One), model No. L59 by Ray Ayres, limited edition */500"
L62,"Border Fine Arts 'Harvesting', model No. L62 by Judy Boyt, limited edition */350"
L63,"Border Fine Arts 'Cleveland Bay Stallion, ""Forest Foreman"", model No. L63 by Judy Boyt, limited edition */200"
L64,"Border Fine Arts 'Forrard Away' (Three Hounds Chasing a Fox), model No. L64 by Elizabeth Waugh, limited edition */1500"
L66,"Border Fine Arts 'Roe Buck' leg up, model No. L66 by James Harvey, limited edition */850"
L69,"Border Fine Arts 'Charlie's Retreat', model No. L69 by Elizabeth MacAllister, limited edition */500"
L70,"Border Fine Arts 'Suffolk Punch Stallion' (Standing), model No. L70 by Anne Wall, limited edition */350"
L71,"Border Fine Arts 'Gone Away' (Mounted Huntsman and four Hounds), model No. L71 by David Geenty, limited edition */750"
L72,"Border Fine Arts 'Simmental Family', model No. L72 by Elizabeth MacAllister, limited edition */850"
L73,"Border Fine Arts 'Fallow Buck' (Style One), model No. L73 by James Harvey, limited edition */850"
L74,"Border Fine Arts 'Ayrshire Cow' (Polled), model No. L74 by Elizabeth MacAllister, limited edition */250"
L75,"Border Fine Arts 'Ayrshire Cow' (Horned), model No. L75 by Elizabeth MacAllister, limited edition */250"
L76,"Border Fine Arts 'Macaw', model No. L76 by Richard Roberts, limited edition */950"
L77,"Border Fine Arts 'Toucan', model No. L77 by Richard Roberts, limited edition */950"
L78,"Border Fine Arts 'Highland Bull' (Style One), model No. L78 by Elizabeth Waugh, limited edition */950"
L79,"Border Fine Arts 'Herdwick Ewe and Lamb' (Style One), model No. L79 by Ray Ayres, limited edition */500"
L80,"Border Fine Arts Including: 'Disturbing the Peace' (Labrador and Mallards), model No. L80 by Ray Ayres, limited edition */1500"
L81,"Border Fine Arts 'Riding Out', model No. L81 by David Geenty, limited edition */750"
L82,"Border Fine Arts 'Full Stretch' (racehorse), model No. L82 by David Gennty, limited editions */1500"
L87,"Border Fine Arts 'Suffolk Ewe and Lambs' (Style One), model No. L87 by Ray Ayres, limited edition */1250"
L88,"Border Fine Arts 'A Lucky Escape' (Golden Eagle attacking a Hare), model No. L88 by David B. Smith, limited edition */950"
L91,"Border Fine Arts 'Old English Foxhound and Short Haired Fox Terrier', model No. L91 by Mairi Laing Hunt, limited edition */750"
L92,"Border Fine Arts 'Fell Hound With Lakeland Terrier', model No. L92 by Mairi Laing Hunt, limited edition */750"
L92A,"Border Fine Arts 'Fell Hound and Lakeland Terrier', model No. L92A by Mairi Laing Hunt, limited edition */750"
L93,"Border Fine Arts 'Greylag Geese', model No. L93, limited edition */950"
L94,"Border Fine Arts 'the Carriage Horse', model No. L94 by Elizabeth MacAllister, limited edition */100"
L96,"Border Fine Arts 'Budgerigars', model No. L96 by Richard Roberts, limited edition */950"
L97,"Border Fine Arts ""Ladies of the Stream"", model No. L97 by Elizabeth Waugh, limited edition */950"
M5,"Border Fine Arts 'Goat Kid', model No. M5"
M8,"Border Fine Arts 'Calf' (lying, style one), model No. M8 by David Geenty"
MF03,"Border Fine Arts 'bluecoat regiment office (english civil war), model No. MF03, limited edition */750"
MF06,"Border Fine Arts 'Dragoon Officer' (Waterloo), model No. MF06, limited edition */750"
MT01A,"Border Fine Arts 'Labrador', model No. MT01A by Margaret Turner"
MT02A,"Border Fine Arts 'Labrador' (dog, heavy build), model No. MT02A"
MT04,"Border Fine Arts 'Jack Russell Terrier', model No. MT04"
MT07,"Border Fine Arts 'Border Collie', model No. MT07"
MTR01,"Border Fine Arts 'First Outing', model No. MTR01 "
MTR03,"Border Fine Arts 'Scenting the Air', model No. MTR03 "
MTR04,"Border Fine Arts 'Safe Haven', model No. MTR04"
MTR05,"Border Fine Arts 'Spring Romance' (Otters), model No. MTR05 by Ray Ayres, limited edition */2500"
NO,"Border Fine Arts 'Foxhound', model No. No. B1011, limited edition */500"
NP6,"Border Fine Arts 'Welsh Cob' (Style Two), model No. NP6 by Judy Boyt"
NTR09,"Border Fine Arts 'High and Dry', model No. NTR09 by Ray Ayres, limited edition */2500"
PJ01,"Border Fine Arts 'Gentle Giants' (Tetleys Dray), Standard Edition, model No. PJ01 by Ray Ayres, limited edition */750"
PJ02,"Border Fine Arts 'the Gentle Giants' (Tetley's Dray), Gold Edition, model No. PJ02 by Ray Ayres, limited edition */150"
PJ03,"Border Fine Arts 'Off To the Fells At Slater's Bridge' (Shepherd, Sheep and Collie Crossing), model No. PJ03 by Ray Ayres, limited edition */1250"
PJS182,"Border Fine Arts 'Golden Retriever', model No. PJS182 "
PS01,"Border Fine Arts 'Greater Flamingos', model No. PS01 by richard roberts, limited edition */950"
R35,"Border Fine Arts 'Border Terrier and Vixen', model No. R35, limited edition */850"
RB1,"Border Fine Arts 'Kingfisher' style three, model No. RB1"
RB14,"Border Fine Arts 'Pied Wagtail', model No. RB14, by Ray Ayres"
RB16,"Border Fine Arts 'Tawny Owl and Young', model No. RB16 by Ray Ayres"
RB20,"Border Fine Arts 'Evening Reflections', b1186"
RB21,"Border Fine Arts 'Cock Pheasant', model No. RB21 "
RB32,"Border Fine Arts 'Blackbird', model No. RB32 "
RB33,"Border Fine Arts 'Hobby and Dragonfly', model No. RB33"
RB34,"Border Fine Arts 'Barn Owl Family', model No. RB34 "
RB45,"Border Fine Arts 'Robin With Chicks in Boot', model No. RB45"
RM29,"Border Fine Arts 'Short Eared Owl and Eggs', model No. RM29 "
RR06,"Border Fine Arts 'Hen Pecked', model No. RR06"
RW61,"Border Fine Arts 'Lion Cubs', model No. RW61 by Richard Roberts"
RW62,"Border Fine Arts 'Tiger Cubs', model No. RW62 by Richard Roberts"
RW7,"Border Fine Arts 'Deer', model No. RW7 "
S035,"Border Fine Arts 'After the Rain', model No. S035"
S037,"Border Fine Arts 'Evening Shadows', model No. S037"
S0C6,"Border Fine Arts 'Wait for Me', model No. S0C6 by Ray Ayres"
SOC2,"Border Fine Arts 'The Joys of Spring' (Two Robins nest in Teapot), model No. SOC2 by Ray Ayres"
SOC5,"Border Fine Arts 'After the Rain', model No. SOC5, by Ray Ayres "
SOC8,"Border Fine Arts 'A Watchful Eye' (Female Tawny Owl and Owlets), model No. SOC8 by Ray Ayres"
STW02,"Border Fine Arts 'Sibling Play' (three wolf cubs), model No. STW02 by Richard Roberts"
STW07,"Border Fine Arts 'Pack Leader' (wolf), model No. STW07, limited edition */1500"
STW08,"Border Fine Arts 'Free Spirits' (Wolf and Two Cubs), model No. STW08 by Richard Roberts, limited edition */1500"
UNKNOWN,"Border Fine Arts 'Cheviot Ewe and Lambs', model No. UNKNOWN by Mairi Laing Hunt, limited edition */250"
WB153,"Border Fine Arts 'Great Tit on Button Box', model No. WB153"
WB70,"Border Fine Arts 'Tawny Owl', model No. WB70, limited edition */1850"
WB71,"Border Fine Arts 'Barn Owl and Chicks', model No. WB71 by Russell Willis, limited edition */1250"
WW1,"Border Fine Arts 'Otters Playing', model No. WW1 by Elizabeth Waugh, limited edition */950"
WW10,"Border Fine Arts 'Family Life' fieldmice, model No. WW10 "
WW2,"Border Fine Arts 'Otter', model No. WW2"
WW4,"Border Fine Arts 'Swan and Cygnets' (style one), model No. WW4"
WW5,"Border Fine Arts 'Otter and Trout', model No. WW5 by Elizabeth Waugh"
B0884,"Border Fine Arts 'Terriers Ratting', model No. B0884 by Anne Wall, limited edition */500"
B1162,"Border Fine Arts 'Main Crop', model No. B1162 by Ray Ayres, limited edition */950"
B1325,"Border Fine Arts 'Highland Cattle', model No. B1325 by Ray Ayres, limited edition */500"
B1655,"Border Fine Arts 'Sleepy Heads', model No. B1655 by Anne Wall, limited edition */350"
B1139,"Border Fine Arts 'Beef Shorthorn Cow and Calf', model No. B1139 by Kirsty Armstrong, limited edition */500"
B0735,"Border Fine Arts 'Bringing in the Harvest', model No. B0735 by Ray Ayres, limited edition */850"
B0996,"Border Fine Arts 'Simmental Bull', model No. B0996 by Antony Halls, limited edition */500"
L112,"Border Fine Arts 'Charolais Bull' (Style One), model No. L112 by Ray Ayres, limited edition */1500"
B0090,"Border Fine Arts 'Ploughman's Lunch' (Shire, Farmer and Collie), model No. B0090 by Anne Wall, limited edition */1750"
B0353,"Border Fine Arts 'Blonde D'Aquitaine Cow and Calf', model No.B0353 by Kirsty Armstrong, limited edition */1250"
L83,"Border Fine Arts 'Going for the Post' (Three Racehorses), model No. L83 by David Geenty, limited edition */250"
B169,"Border Fine Arts 'Blackface Tup', model No. B169 by Anne Wall"
B1029,"Border Fine Arts 'Homeward Bound' (Clydesdale Horses), model No. B1029 by Anne Wall, limited edition */650"
B1218,"Border Fine Arts 'In Safe Hands', model No. B1218 by Hans Kendrick, limited edition */350"
B1449,"Border Fine Arts 'The Beautiful Bradford', model No. B1449 by Ray Ayres, limited edition */400"
B1341,"Border Fine Arts 'Trooping the Colour 1952', model No. B1341 by Anne Wall, limited edition */500"
B1407,"Border Fine Arts 'Her Majesty at Balmoral', model No. B1407 by Anne Wall, limited edition */350"
B1428,"Border Fine Arts 'Newly Crowned', model No. B1428 By Keith Sherwin, limited edition */250"
B1444,"Border Fine Arts 'Royal Parade', model No. B1444 by Anne Wall, limited edition */250"
